ID	Type	is_updated	update_time
--------------------------------------------
10011	null	YES	'2017-07-24 16:08:40'
10201	null	YES	'2017-07-24 16:13:11'
10801	null	YES	'2017-07-24 16:13:11'
11201	null	YES	'2017-07-24 16:27:37'
10701	null	YES	'2017-07-24 16:27:37'
11001	null	YES	'2017-07-24 16:31:50'
40331	null	YES	'2017-07-25 10:12:30'
11301	null	YES	'2017-07-25 10:17:23'
10501	null	YES	'2017-07-25 10:22:44'
21631	null	YES	'2017-07-25 10:39:07'
61831	null	YES	'2017-07-25 10:42:12'
21831	null	YES	'2017-07-25 10:42:12'
22231	null	YES	'2017-07-25 10:54:44'
20301	null	YES	'2017-07-25 11:02:16'
21731	null	YES	'2017-07-25 11:04:33'
22031	null	YES	'2017-07-25 11:08:48'
22131	null	YES	'2017-07-25 11:08:48'
22431	null	YES	'2017-07-25 11:11:18'
22531	null	YES	'2017-07-25 11:11:18'
22331	null	YES	'2017-07-25 11:13:48'
62031	null	YES	'2017-07-25 11:17:56'
61931	null	YES	'2017-07-25 11:22:16'
62131	null	YES	'2017-07-25 11:26:17'
62231	null	YES	'2017-07-25 11:26:17'
61331	null	YES	'2017-07-25 11:31:26'
61431	null	YES	'2017-07-25 11:31:26'
61531	null	YES	'2017-07-25 11:31:26'
61631	null	YES	'2017-07-25 11:35:23'
61731	null	YES	'2017-07-25 11:35:23'
60331	null	YES	'2017-07-25 11:39:17'
60431	null	YES	'2017-07-25 11:39:17'
60531	null	YES	'2017-07-25 11:39:17'
60631	null	YES	'2017-07-25 11:39:17'
60731	null	YES	'2017-07-25 11:42:17'
60831	null	YES	'2017-07-25 11:42:17'
60931	null	YES	'2017-07-25 11:42:17'
61131	null	YES	'2017-07-25 11:44:39'
61231	null	YES	'2017-07-25 11:44:39'
60101	null	YES	'2017-07-25 11:50:09'
60001	null	YES	'2017-07-25 11:50:09'
11401	null	YES	'2017-07-25 11:55:52'
21501	null	YES	'2017-07-25 12:02:19'
50431	null	YES	'2017-07-25 12:07:56'
11801	null	YES	'2017-07-25 12:12:12'
50531	null	YES	'2017-07-25 12:17:16'
50031	null	YES	'2017-07-25 12:17:16'
23031	null	YES	'2017-07-25 12:23:04'
23131	null	YES	'2017-07-25 12:23:04'
11701	null	YES	'2017-07-25 12:26:30'
22731	null	YES	'2017-07-25 12:31:03'
22831	null	YES	'2017-07-25 12:31:03'
22931	null	YES	'2017-07-25 12:31:03'
20711	null	YES	'2017-07-25 12:35:01'
22631	null	YES	'2017-07-25 14:20:31'
30031	null	YES	'2017-07-25 14:35:16'
31301	null	YES	'2017-07-25 14:38:21'
11601	null	YES	'2017-07-25 14:38:21'
30151	null	YES	'2017-07-25 16:06:16'
50131	null	YES	'2017-07-25 16:41:10'
50231	null	YES	'2017-07-25 16:41:10'
50331	null	YES	'2017-07-25 16:41:10'
30551	null	YES	'2017-07-25 16:58:08'
30651	null	YES	'2017-07-25 16:58:08'
31251	null	YES	'2017-07-25 17:06:58'
20851	null	YES	'2017-07-25 17:23:11'
21331	null	YES	'2017-07-25 17:35:40'
40031	null	YES	'2017-07-25 18:06:32'
40231	null	YES	'2017-07-25 18:06:32'
40131	null	YES	'2017-07-25 18:09:00'
20841	null	YES	'2017-07-26 13:19:39'
21341	null	YES	'2017-07-26 13:24:50'
21031	null	YES	'2017-07-26 13:29:43'
10401	null	YES	'2017-07-26 13:35:41'
20151	null	YES	'2017-07-26 13:44:03'
11501	null	YES	'2017-07-26 13:50:09'
20031	null	YES	'2017-07-26 14:13:38'
30951	null	YES	'2017-07-26 14:38:31'
30851	null	YES	'2017-07-26 14:48:21'
30351	null	YES	'2017-07-26 14:51:30'
21931	null	YES	'2017-07-28 09:11:55'
